"rank","name","continent","adjustedPoints","population","sportEarth","debuff"
"1","Raledria","Atirha","1567.36","301115278","Football","0"
"2","Emara","Ayuma","1549.41","90861040","Football","0"
"3","Lycroa","Ayuma","1530.68","81313729","Football","0"
"4","Verusa","Ayuma","1523.46","69480631","Football","0"
"5","Easuhura","Ayuma","1490.9","29913650","Football","0"
"6","United Delet","New Ayre","1487.16","93832500","Football","0"
"7","New Misos","Atirha","1473.02","53637198","Football","0"
"8","Seytinemas","Mahea","1470.54","71957346","Football","0"
"9","Quidic","Quia","1467.21","143972723","Football","0"
"10","Etirha","Atirha","1466.07","74667447","Etirhan Football","100.0"
"11","Siana","Ayuma","1462.84","39335005","Football","0"
"12","Praesyu","Ayuma","1459.06","39227750","Football","0"
"13","Sanagara","Massir","1434.07","38792291","Football","0"
"14","Dahe","Massir","1432.49","890601322","Rugby","250.0"
"15","Ztesh","Quia","1428.91","425141434","Football","0"
"16","Taval","Massir","1427.17","44529546","Football","0"
"17","Trian","Mahea","1427.13","27844193","Football","0"
"18","Ukhdari","Ayuma","1427.06","85678806","Football","0"
"19","Ealdorii","Ayuma","1422.35","137992638","Football","0"
"20","Terressin","Acrola","1408.89","74091042","Football","0"
"21","Etretes","Massir","1405.41","21374692","Football","0"
"22","Finae","Quia","1399.6","31745420","Football","0"
"23","Dual Cenryia","Mahea","1399.02","95001457","Football","0"
"24","Yaxuto","Ayuma","1395.81","18401158","Football","0"
"25","Merela Sta","Ayuma","1395.26","23361657","Football","0"
"26","Myla","Quia","1394.27","42672208","Football","0"
"27","Ohtina","New Ayre","1387.11","33245174","Football","0"
"28","Genaire","Atirha","1383.52","15795087","Football","0"
"29","Oyreain","Massir","1375.8","31491757","Football","0"
"30","Vesozata","Massir","1375.19","121753072","Football","0"
"31","Pelines","Acrola","1372.56","88057485","Football","0"
"32","Inania","Mahea","1372.48","236475569","Football","0"
"33","Wundry","Quia","1370.96","140080976","Football","0"
"34","Anymna","Quia","1367.26","21768597","Football","0"
"35","Darewa","Ayuma","1362.11","19678480","Football","0"
"36","Chaenia","Mahea","1361.35","13815053","Football","0"
"37","Erkizil","Quia","1348.25","90945636","Football","0"
"38","Gaeiya","Atirha","1344.73","9533900","Football","0"
"39","Astye","New Ayre","1343.16","44277194","Football","0"
"40","Haiza","Massir","1335.4","17079116","Football","0"
"41","Laselteh","Atirha","1330.69","6524522","Football","0"
"42","Volver","Quia","1317.62","17219177","Football","0"
"43","Disal Nila","Atirha","1317.52","7438559","Football","0"
"44","Acrana","Ayuma","1317.17","14469041","Football","0"
"45","Lydroa","Ayuma","1315.53","18995781","Football","0"
"46","North Ayre","Massir","1307.27","10967500","Football","0"
"47","Fermori","Ayuma","1306.5","12299328","Football","0"
"48","Acetoa","Acrola","1290.7","11203256","Football","0"
"49","Isari","New Ayre","1290.6","12783095","Football","0"
"50","Arbiya","Atirha","1289.89","6585930","Football","0"
"51","Ilicuhe","Ayuma","1285.55","3254988","Football","0"
"52","Sivoso","Mahea","1283.9","21995119","Football","0"
"53","Otiiric","Mahea","1281.3","21611863","Football","0"
"54","Maalle","New Ayre","1275.64","22501433","Football","0"
"55","Umarcia","New Ayre","1273.15","12307247","Football","0"
"56","Areoix Lie","Acrola","1271.93","579087437","Baseball","350.0"
"57","Hkuqo","Ayuma","1268.77","22833760","Football","0"
"58","Eldjo","Ayuma","1268.29","5393380","Football","0"
"59","Mendereide","New Ayre","1267.31","11019227","Football","0"
"60","Reerica","Acrola","1263.8","8871251","Football","0"
"61","Deschon","Acrola","1256.03","30642963","Football","0"
"62","Isnti","Mahea","1253.85","35956798","Football","0"
"63","Kusierna","Massir","1253.13","9164021","Football","0"
"64","Nia","New Ayre","1251.11","16302960","Football","0"
"65","Iainoa","New Ayre","1250.71","15105090","Football","0"
