City,Nation,Continent,Population,GDP per Capita,GDP (Nominal),Economic Mass,Population Band,Is Capital,Is Hub,Route Count (Degree),Latitude,Longitude,Map X,Map Y,ID
Sarwun,Estijan,Ayuma,11035000,10753.97,118670039683,118670039683,10-20M,FALSE,TRUE,96,58.9258,51.66,6435,863,sarwun
Hananli,Estijan,Ayuma,1888000,10753.97,20303492063,20303492063,1-5M,FALSE,FALSE,21,57.3415,52.128,6448,907,hananli
Ramvok,Estijan,Ayuma,1054000,10753.97,11334682540,11334682540,1-5M,FALSE,FALSE,20,56.4413,48.672,6352,932,ramvok
Ghalnari,Estijan,Ayuma,1189000,10753.97,12786468254,12786468254,1-5M,FALSE,FALSE,20,55.5411,53.1,6475,957,ghalnari
Zemraya,Estijan,Ayuma,2159000,10753.97,23217817460,23217817460,1-5M,FALSE,FALSE,22,55.4331,72.72,7020,960,zemraya
Miranis,Estijan,Ayuma,3767000,10753.97,40510198413,40510198413,1-5M,FALSE,FALSE,31,54.1728,51.48,6430,995,miranis
Qadorli,Estijan,Ayuma,1019000,10753.97,10958293651,10958293651,1-5M,FALSE,FALSE,21,53.6327,48.384,6344,1010,qadorli
Sharo,Estijan,Ayuma,3995000,10753.97,42962103175,42962103175,1-5M,FALSE,FALSE,32,53.0206,48.78,6355,1027,sharo
Bashira,Estijan,Ayuma,1421000,10753.97,15281388889,15281388889,1-5M,FALSE,FALSE,21,53.0206,54.36,6510,1027,bashira
Kraevu,Arbiya,Atirha,1022000,14603.17,14924444444,14924444444,1-5M,TRUE,FALSE,30,52.2645,-44.1,3775,1048,kraevu
Taranvo,Estijan,Ayuma,2266000,10753.97,24368492063,24368492063,1-5M,FALSE,FALSE,24,51.6523,48.888,6358,1065,taranvo
Dariya,Laselteh,Atirha,2029000,24722.22,50161388889,50161388889,1-5M,TRUE,FALSE,49,51.4723,-1.44,4960,1070,dariya
Pusko,Raledria,Atirha,1110000,28492.06,31626190476,31626190476,1-5M,FALSE,FALSE,39,51.1122,-42.984,3806,1080,pusko
Lijar,Raledria,Atirha,1199000,28492.06,34161984127,34161984127,1-5M,FALSE,FALSE,39,50.6441,-46.692,3703,1093,lijar
Barashir,Estijan,Ayuma,6540000,10753.97,70330952381,70330952381,5-10M,FALSE,FALSE,40,50.6441,55.44,6540,1093,barashir
Zhaelis,Estijan,Ayuma,2065000,10753.97,22206944444,22206944444,1-5M,FALSE,FALSE,25,50.4641,53.28,6480,1098,zhaelis
