City,Nation,Continent,Population (M),GDP per Capita,"GDP (Nominal, $bn)",Pop. Band,Capital?,Hub?,Routes,Latitude,Longitude
Sarwun,Estijan,Ayuma,11.04,10754,118.67,10-20M,,Yes,96,58.93,51.66
Hananli,Estijan,Ayuma,1.89,10754,20.30,1-5M,,,21,57.34,52.13
Ramvok,Estijan,Ayuma,1.05,10754,11.33,1-5M,,,20,56.44,48.67
Ghalnari,Estijan,Ayuma,1.19,10754,12.79,1-5M,,,20,55.54,53.10
Zemraya,Estijan,Ayuma,2.16,10754,23.22,1-5M,,,22,55.43,72.72
Miranis,Estijan,Ayuma,3.77,10754,40.51,1-5M,,,31,54.17,51.48
Qadorli,Estijan,Ayuma,1.02,10754,10.96,1-5M,,,21,53.63,48.38
Sharo,Estijan,Ayuma,4.00,10754,42.96,1-5M,,,32,53.02,48.78
Bashira,Estijan,Ayuma,1.42,10754,15.28,1-5M,,,21,53.02,54.36
Kraevu,Arbiya,Atirha,1.02,14603,14.92,1-5M,Yes,,30,52.26,-44.10
Taranvo,Estijan,Ayuma,2.27,10754,24.37,1-5M,,,24,51.65,48.89
Dariya,Laselteh,Atirha,2.03,24722,50.16,1-5M,Yes,,49,51.47,-1.44
Pusko,Raledria,Atirha,1.11,28492,31.63,1-5M,,,39,51.11,-42.98
Lijar,Raledria,Atirha,1.20,28492,34.16,1-5M,,,39,50.64,-46.69
Barashir,Estijan,Ayuma,6.54,10754,70.33,5-10M,,,40,50.64,55.44
Zhaelis,Estijan,Ayuma,2.06,10754,22.21,1-5M,,,25,50.46,53.28
Shabiran,Estijan,Ayuma,13.22,10754,142.15,10-20M,Yes,Yes,132,50.46,56.99
Druvka,Raledria,Atirha,1.23,28492,35.07,1-5M,,,42,49.78,-41.15
Quzharil,Estijan,Ayuma,1.06,10754,11.40,1-5M,,,20,49.49,65.05
Khalviro,Fermori,Ayuma,1.04,9206,9.56,1-5M,Yes,,24,49.42,46.01
Khidiris,Estijan,Ayuma,1.04,10754,11.24,1-5M,,,20,49.02,56.95
Komiros,Raledria,Atirha,2.87,28492,81.74,1-5M,,,59,48.77,-43.85
Tsyanka,Gaeiya,Atirha,2.85,19643,55.98,1-5M,Yes,,58,48.30,-35.17
Fazraba,Estijan,Ayuma,1.44,10754,15.43,1-5M,,,20,48.12,59.83
Walfrei,Verusa,Ayuma,1.01,22302,22.48,1-5M,,,32,47.87,43.88
Bodhar,Raledria,Atirha,1.53,28492,43.54,1-5M,,,46,47.22,-56.52
Zhoshi,Raledria,Atirha,1.63,28492,46.41,1-5M,,,50,47.15,-51.19
Pekrin-Vavlen,Raledria,Atirha,8.21,28492,233.92,5-10M,,Yes,109,47.08,-45.47
Braniv,Genaire,Atirha,1.53,18651,28.59,1-5M,,,29,46.68,-79.63
Rovik,Raledria,Atirha,14.38,28492,409.66,10-20M,,Yes,136,46.68,-38.12
Vadja,Raledria,Atirha,2.49,28492,70.86,1-5M,,,55,46.54,-48.96
Tirna,Raledria,Atirha,5.88,28492,167.53,5-10M,Yes,Yes,124,46.43,-38.70
Hiranzo,New Misos,Atirha,1.18,15556,18.31,1-5M,,,27,46.14,-63.61
Nirun,Raledria,Atirha,3.03,28492,86.25,1-5M,,,57,46.14,-40.50
Felitu,Heiso,Ayuma/Acrola,1.20,4722,5.67,1-5M,,,13,45.71,100.87
Fryokar,Raledria,Atirha,4.94,28492,140.67,1-5M,,,65,45.64,-37.98
Tsamir,Raledria,Atirha,1.24,28492,35.22,1-5M,,,40,45.35,-44.46
Yaltra,Raledria,Atirha,1.76,28492,50.03,1-5M,,,47,45.03,-41.76
Zahlim,Uularin,Ayuma,1.54,7302,11.22,1-5M,Yes,,23,45.03,49.32
Qayhadr,Estijan,Ayuma,1.50,10754,16.12,1-5M,,,22,44.99,56.88
Sanilu,New Misos,Atirha,1.21,15556,18.85,1-5M,,,26,44.88,-62.71
Lirika,New Misos,Atirha,7.77,15556,120.87,5-10M,,,68,44.81,-68.58
Pikvor,Raledria,Atirha,1.91,28492,54.31,1-5M,,,52,44.81,-54.94
Mushira,Grazail,Atirha,1.04,10437,10.85,1-5M,Yes,,25,44.81,-1.91
Lishka,Genaire,Atirha,1.44,18651,26.84,1-5M,Yes,,37,44.63,-81.25
Sarvek,Raledria,Atirha,1.08,28492,30.83,1-5M,,,39,44.63,-45.18
Tavik,Raledria,Atirha,9.48,28492,270.10,5-10M,,Yes,129,44.27,-46.15
Gulshen,Verusa,Ayuma,1.04,22302,23.19,1-5M,,,33,44.20,40.43
Gorchi,Raledria,Atirha,1.18,28492,33.56,1-5M,,,40,44.02,-48.17
Taoqu,Pelan,Atirha,3.24,5040,16.32,1-5M,Yes,,23,44.02,-22.39
Darnet,New Misos,Atirha,1.23,15556,19.06,1-5M,,,26,43.73,-57.13
Zunle,Raledria,Atirha,12.49,28492,355.81,10-20M,,Yes,130,43.48,-39.67
Zarfan,Lydroa,Ayuma,1.74,6468,11.24,1-5M,Yes,,22,43.44,52.56
Birska,Raledria,Atirha,5.07,28492,144.45,5-10M,,,68,43.30,-51.66
Solima,New Misos,Atirha,2.05,15556,31.87,1-5M,,,26,43.15,-66.67
Dhalpavishka,Raledria,Atirha,2.09,28492,59.61,1-5M,,,52,43.15,-45.65
Albira,New Misos,Atirha,1.46,15556,22.63,1-5M,,,26,43.12,-74.05
Shinori,Etirha,Atirha,3.95,35397,139.82,1-5M,,,59,43.12,-10.66
Nokavi,New Misos,Atirha,1.19,15556,18.45,1-5M,,,25,42.76,-58.57
Dazkar,Etirha,Atirha,1.99,35397,70.44,1-5M,,,49,42.65,-18.07
Valkirseh,Verusa,Ayuma,1.45,22302,32.23,1-5M,,,36,42.65,44.89
Lunava,New Misos,Atirha,2.65,15556,41.18,1-5M,Yes,,40,42.54,-67.93
Mivlo,Heiso,Ayuma/Acrola,1.58,4722,7.44,1-5M,Yes,,20,42.47,100.26
Mulkhan,Etirha,Atirha,2.21,35397,78.12,1-5M,,,52,42.18,-14.04
Jitana,Raledria,Atirha,1.03,28492,29.49,1-5M,,,39,42.00,-40.68
Nalvoku,Etirha,Atirha,1.23,35397,43.36,1-5M,,,47,41.93,-5.47
Huifarn,Verusa,Ayuma,5.08,22302,113.29,5-10M,Yes,Yes,117,41.93,43.02
Tiyomi,Fincen,Atirha,1.51,12857,19.41,1-5M,Yes,,31,41.68,-51.66
Foulang,Verusa,Ayuma,1.07,22302,23.82,1-5M,,,32,41.10,40.61
Minafi,New Misos,Atirha,4.67,15556,72.72,1-5M,,,33,40.96,-75.17
Tamira,Phuris,Atirha,4.58,1865,8.54,1-5M,,,15,40.85,-99.79
Hulong,Curata,Atirha,3.24,11230,36.37,1-5M,Yes,,34,40.74,-45.07
Zhetren,Etirha,Atirha,2.36,35397,83.50,1-5M,,,53,40.67,-4.61
Khorin,Yaxuto,Ayuma,3.51,18492,64.93,1-5M,Yes,,74,40.02,37.69
Turkhian,Etirha,Atirha,3.68,35397,130.30,1-5M,,,57,39.88,-9.83
Lunru,Etirha,Atirha,8.77,35397,310.43,5-10M,,Yes,131,39.77,-12.92
Yeklan,Etirha,Atirha,1.65,35397,58.30,1-5M,,,48,39.70,-1.73
Jentori,Verusa,Ayuma,4.02,22302,89.63,1-5M,,,73,39.63,42.88
Korvona,Etirha,Atirha,1.24,35397,44.00,1-5M,,,47,39.41,-7.74
Ternyu,Tomscilus,Atirha,1.00,16786,16.87,1-5M,Yes,,33,38.80,-56.88
Sakraza,Phuris,Atirha,1.82,1865,3.39,1-5M,,,12,38.58,-111.60
City of Dauris,Phuris,Atirha,5.24,1865,9.77,5-10M,Yes,,22,37.86,-109.33
Mahana,Areoix Lie,Acrola,8.54,7937,67.78,5-10M,,,36,37.79,98.28
Kavlira,Etirha,Atirha,4.22,35397,149.37,1-5M,,,67,37.68,-4.21
Raldino,Phuris,Atirha,1.39,1865,2.59,1-5M,,,11,37.25,-113.22
Shernuka,Etirha,Atirha,1.22,35397,43.29,1-5M,,,47,37.00,-8.46
Zhangkao,Yaxuto,Ayuma,1.49,18492,27.48,1-5M,,,31,37.00,41.83
Xemara,Areoix Lie,Acrola,1.17,7937,9.28,1-5M,,,18,37.00,97.09
Lungkai,Merela Sta,Ayuma,1.16,14206,16.48,1-5M,,,24,36.89,37.69
Albiran,Etirha,Atirha,10.12,35397,358.18,10-20M,Yes,Yes,178,36.60,-4.32
Naliti,Disal Nila,Atirha,1.18,18175,21.46,1-5M,Yes,,35,36.17,-12.64
Mushka,Etirha,Atirha,1.56,35397,55.33,1-5M,,,48,35.70,-5.83
Ser,Merela Sta,Ayuma,1.13,14206,16.10,1-5M,,,24,35.59,40.43
Haikaia,Areoix Lie,Acrola,2.63,7937,20.88,1-5M,,,25,35.31,93.49
Talung,Merela Sta,Ayuma,1.69,14206,23.95,1-5M,Yes,,33,35.27,38.16
Nakahiki,Areoix Lie,Acrola,13.48,7937,107.00,10-20M,,Yes,107,35.16,95.58
Mbeke,Disal Nila,Atirha,1.17,18175,21.26,1-5M,,,28,34.58,-9.29
Shamarin,Darewa,Ayuma,2.57,11230,28.85,1-5M,Yes,,39,34.55,48.78
Pitahu,Areoix Lie,Acrola,1.02,7937,8.07,1-5M,,,18,33.47,94.39
Mireli,Areoix Lie,Acrola,5.99,7937,47.54,5-10M,,,32,33.22,99.54
Vahata,Areoix Lie,Acrola,1.80,7937,14.28,1-5M,,,24,33.18,96.12
Zothra,Siana,Ayuma,3.31,19087,63.10,1-5M,,,53,32.21,43.49
Zirohu,Areoix Lie,Acrola,32.51,7937,258.05,>20M,,Yes,143,31.78,99.61
Mangiwa,Siana,Ayuma,1.80,19087,34.41,1-5M,,,41,31.74,41.65
Tuatiku,Areoix Lie,Acrola,1.14,7937,9.06,1-5M,,,19,31.49,92.23
Mauhunai,Areoix Lie,Acrola,1.02,7937,8.12,1-5M,,,17,31.45,100.73
Tianco,Lycroa,Ayuma,1.60,20635,33.00,1-5M,,,41,31.24,47.77
Zaringao,Lycroa,Ayuma,1.24,20635,25.65,1-5M,,,33,31.20,49.97
Nikahatu,Areoix Lie,Acrola,7.21,7937,57.22,5-10M,,,38,31.20,101.09
Xalavi,Areoix Lie,Acrola,9.60,7937,76.19,5-10M,,,48,30.88,94.32
Kaimoana,Areoix Lie,Acrola,1.19,7937,9.42,1-5M,,,18,30.59,90.72
Yuwiha,Areoix Lie,Acrola,1.35,7937,10.71,1-5M,,,20,30.44,99.29
Rimao,Lycroa,Ayuma,1.13,20635,23.40,1-5M,,,37,29.94,49.03
Vurahi,Areoix Lie,Acrola,21.58,7937,171.28,>20M,Yes,Yes,154,29.90,90.43
Lihakoa,Areoix Lie,Acrola,3.58,7937,28.44,1-5M,,,27,29.87,94.97
Wadika,Siana,Ayuma,5.11,19087,97.54,5-10M,Yes,,87,29.62,39.89
Shorakim,Eldjo,Ayuma,1.25,13770,17.27,1-5M,Yes,,31,29.44,52.56
Jungui,Lycroa,Ayuma,9.99,20635,206.14,5-10M,Yes,Yes,177,29.33,47.05
Vimano,Areoix Lie,Acrola,1.45,7937,11.49,1-5M,,,17,28.97,88.99
Tungkam,Siana,Ayuma,1.20,19087,22.81,1-5M,,,29,28.75,40.79
Tavarua,Areoix Lie,Acrola,1.47,7937,11.66,1-5M,,,23,28.68,92.41
Liambra,Lycroa,Ayuma,3.63,20635,74.84,1-5M,,,55,28.36,46.01
Huetun,Lycroa,Ayuma,1.17,20635,24.10,1-5M,,,36,27.60,48.85
Zhrunbei,Emara,Ayuma,1.28,23214,29.62,1-5M,,,38,27.10,42.23
Baxian,Emara,Ayuma,2.05,23214,47.59,1-5M,,,49,27.06,44.28
Matini,Areoix Lie,Acrola,1.19,7937,9.46,1-5M,,,17,26.99,108.00
